"year","pop","r","rpcap"
1822,1106253783,0.00627699916208116,5.67410413283184e-12
1823,1113514792,0.00654215487076482,5.87522942467101e-12
1824,1120876169,0.00658918135880074,5.87859885064676e-12
1825,1128342960,0.00663947619275066,5.88427138567042e-12
1826,1135961188,0.00672900480485999,5.92362210605736e-12
1827,1143684846,0.00677621651676294,5.92489840226749e-12
1828,1151515422,0.00682346241550372,5.92563702156281e-12
1829,1158898384,0.0063910517768727,5.51476459464344e-12
1830,1166619866,0.00664067923400551,5.69223911536366e-12
1831,1172266726,0.00482868300775581,4.1190992635543e-12
1832,1178216298,0.00506243580206699,4.29669476704777e-12
1833,1183674995,0.00462231833895638,3.9050570118332e-12
1834,1189194865,0.00465249278928336,3.91230480908893e-12
1835,1194777021,0.00468308056378217,3.9196272454776e-12
1836,1200422586,0.00471407513459799,3.92701302822537e-12
1837,1206132721,0.0047454930283679,3.93447001788777e-12
1838,1211908617,0.00477734345935634,3.94199974514774e-12
1839,1217612799,0.00469573344266332,3.85650795270863e-12
1840,1224118700,0.00532893678001625,4.35328435062404e-12
1841,1228821489,0.00383441453898963,3.12039997128471e-12
1842,1234333753,0.00447578220657727,3.62607130826574e-12
1843,1239786237,0.00440762198212885,3.55514672657949e-12
1844,1245319917,0.00445348311348037,3.57617593092778e-12
1845,1250936428,0.00449995489359017,3.597269048104e-12
1846,1256637463,0.00454706028263112,3.6184344463007e-12
1847,1262424720,0.00459477913706446,3.63964604326226e-12
1848,1268300005,0.00464317236672953,3.66094169236366e-12
1849,1273394934,0.00400908523360038,3.1483439477861e-12
1850,1278698177,0.00415600090014429,3.25018129758723e-12
1851,1281044111,0.00183294597100548,1.43082190165541e-12
1852,1283605123,0.00199716422604685,1.55590234898653e-12
1853,1285405357,0.00140150015633149,1.09031765637141e-12
1854,1287317863,0.00148675639681961,1.15492563224038e-12
1855,1289344086,0.00157275068112759,1.2198067980494e-12
1856,1291485555,0.00165952022361198,1.28497002323187e-12
1857,1293743896,0.00174711113055948,1.35043043369032e-12
1858,1296120810,0.00183555122540651,1.41618837630307e-12
1859,1298874784,0.0021225277147166,1.63412804749361e-12
1860,1303155270,0.00329011561932145,2.52473031806981e-12
1861,1305490771,0.00179058529773623,1.3715802037916e-12
1862,1309347024,0.00294951817129665,2.2526634400451e-12
1863,1313556287,0.00320962392772045,2.44346128101662e-12
1864,1317850567,0.00326386913955317,2.47666102764834e-12
1865,1322223328,0.00331260803490525,2.50533171269631e-12
1866,1326674072,0.00336045343877006,2.53299096567409e-12
1867,1331210602,0.00341364277367562,2.56431459345876e-12
1868,1335831902,0.00346549004605158,2.59425608930515e-12
