"x.R.Phase1","R.fit","R.upr","R.lwr","x.G.Phase1","G.fit","G.upr","G.lwr"
0.824882696666667,0.00355204973935522,0.00407293694458044,0.00303116253413,0.824882696666668,0.00273580652308531,0.00338968214641399,0.00208193089975663
0.849879142020202,0.00364984168883366,0.0041568485564776,0.00314283482118972,0.849879142020201,0.00291878639655543,0.00354452027993082,0.00229305251318004
0.874875587373737,0.00374763363831209,0.00424090248031327,0.00325436479631092,0.874875587373737,0.00309646175168462,0.00369514023763058,0.00249778326573866
0.899872032727273,0.00384542558779053,0.00432511094354002,0.00336574023204105,0.899872032727273,0.00326913149562473,0.00384180842009637,0.00269645457115308
0.924868478080808,0.00394321753726897,0.00440948745258855,0.0034769476219494,0.924868478080807,0.00343706996139829,0.003984772822618,0.00288936710017858
0.949864923434343,0.00404100948674741,0.00449404693632969,0.00358797203716513,0.949864923434345,0.00360052952996097,0.00412426543512243,0.0030767936247995
0.974861368787879,0.00413880143622585,0.00457880590313065,0.00369879696932104,0.974861368787878,0.00375974291161296,0.00426050437099502,0.0032589814522309
0.999857814141414,0.00423659338570429,0.00466378261128076,0.00380940416012781,0.999857814141414,0.00391492513852553,0.00439369576192488,0.00343615451512618
1.02485425949495,0.00433438533518272,0.00474899725177625,0.0039197734185892,1.02485425949495,0.00406627531119612,0.00452403544494657,0.00360851517744567
1.04985070484848,0.00443217728466116,0.00483447214132026,0.00402988242800207,1.04985070484848,0.00421397813442235,0.00465171045710828,0.00377624581173641
1.07484715020202,0.0045299692341396,0.0049202319218099,0.0041397065464693,1.07484715020202,0.00435820527251978,0.0047769003421657,0.00393951020287387
1.09984359555556,0.00462776118361804,0.00500630376043233,0.00424921860680375,1.09984359555556,0.00449911654872384,0.00489977826206339,0.00409845483538429
1.12484004090909,0.00472555313309648,0.00509271754165897,0.00435838872453399,1.12484004090909,0.00463686100979138,0.00502051189369794,0.00425321012588483
1.14983648626263,0.00482334508257491,0.00517950603881403,0.0044671841263358,1.14983648626263,0.00477157787358305,0.005139264079021,0.0044038916681451
1.17483293161616,0.00492113703205335,0.00526670504846048,0.00457556901564622,1.17483293161616,0.00490339737473017,0.00525619318513516,0.00455060156432518
1.1998293769697,0.00501892898153179,0.00535435346566828,0.0046835044973953,1.1998293769697,0.00503244152126326,0.00537145312286025,0.00469342991966626
1.22482582232323,0.00511672093101023,0.00544249327258205,0.00479094858943841,1.22482582232323,0.00515882477321997,0.00548519297068778,0.00483245657575215
1.24982226767677,0.00521451288048867,0.00553116940716768,0.00489785635380966,1.24982226767677,0.00528265465269219,0.00559755616053343,0.00496775314485094
1.2748187130303,0.00531230482996711,0.0056204294745899,0.00500418018534431,1.2748187130303,0.00540403229345981,0.0057086792070082,0.00509938537991142
1.29981515838384,0.00541009677944554,0.00571032326185459,0.00510987029703649,1.29981515838384,0.00552305293725151,0.00581869000654905,0.00522741586795398
1.32481160373737,0.00550788872892398,0.00580090201912731,0.00521487543872066,1.32481160373737,0.00563980638273349,0.00592770579639546,0.00535190696907152
1.34980804909091,0.00560568067840242,0.00589221748077189,0.00531914387603295,1.34980804909091,0.00575437739252911,0.00603583093922131,0.00547292384583691
